campaign_id,campaign_type,discount_bracket,impressions,conversions,start_date,end_date
7,Payday,0%,277,3,2025-03-13,2025-03-31
5,Festival,21-30%,1126,43,2024-02-24,2024-03-05
5,Festival,21-30%,3724,89,2024-02-24,2024-03-05
6,Category Push,11-20%,3209,67,2025-07-18,2025-08-01
11,Payday,0%,2945,32,2024-08-02,2024-08-16
6,Category Push,21-30%,138,1,2025-07-18,2025-08-01
12,Flash Sale,11-20%,927,17,2025-06-25,2025-07-04
4,New User,0%,4952,54,2025-02-11,2025-02-19
1,Clearance,0%,4549,34,2025-03-28,2025-04-05
7,Payday,31-50%,1295,40,2025-03-13,2025-03-31
10,Flash Sale,1-10%,1405,11,2024-09-15,2024-10-04
11,Payday,1-10%,648,7,2024-08-02,2024-08-16
3,New User,21-30%,233,4,2025-05-12,2025-05-25
7,Payday,31-50%,1777,38,2025-03-13,2025-03-31
2,Referral,0%,1964,30,2024-09-10,2024-09-26
10,Flash Sale,21-30%,3870,90,2024-09-15,2024-10-04
5,Festival,1-10%,2041,36,2024-02-24,2024-03-05
11,Payday,11-20%,2367,46,2024-08-02,2024-08-16
7,Payday,1-10%,2514,43,2025-03-13,2025-03-31
2,Referral,0%,1069,11,2024-09-10,2024-09-26
7,Payday,21-30%,1663,43,2025-03-13,2025-03-31
5,Festival,11-20%,4847,100,2024-02-24,2024-03-05
1,Clearance,11-20%,4364,109,2025-03-28,2025-04-05
11,Payday,0%,4767,49,2024-08-02,2024-08-16
9,Referral,1-10%,4262,40,2024-03-15,2024-03-29
2,Referral,11-20%,3552,67,2024-09-10,2024-09-26
6,Category Push,0%,1520,20,2025-07-18,2025-08-01
2,Referral,1-10%,855,5,2024-09-10,2024-09-26
7,Payday,11-20%,334,11,2025-03-13,2025-03-31
7,Payday,0%,883,10,2025-03-13,2025-03-31
2,Referral,21-30%,4838,97,2024-09-10,2024-09-26
9,Referral,21-30%,3669,74,2024-03-15,2024-03-29
3,New User,1-10%,2485,40,2025-05-12,2025-05-25
2,Referral,11-20%,4030,101,2024-09-10,2024-09-26
1,Clearance,11-20%,1898,34,2025-03-28,2025-04-05
9,Referral,11-20%,2784,54,2024-03-15,2024-03-29
11,Payday,1-10%,3378,54,2024-08-02,2024-08-16
10,Flash Sale,11-20%,3970,87,2024-09-15,2024-10-04
7,Payday,11-20%,4555,94,2025-03-13,2025-03-31
6,Category Push,0%,2772,20,2025-07-18,2025-08-01
4,New User,21-30%,2908,97,2025-02-11,2025-02-19
4,New User,11-20%,855,17,2025-02-11,2025-02-19
8,Festival,0%,773,7,2025-03-28,2025-04-14
1,Clearance,1-10%,2907,47,2025-03-28,2025-04-05
11,Payday,1-10%,943,6,2024-08-02,2024-08-16
5,Festival,11-20%,3839,68,2024-02-24,2024-03-05
5,Festival,1-10%,3078,44,2024-02-24,2024-03-05
6,Category Push,11-20%,759,22,2025-07-18,2025-08-01
9,Referral,11-20%,3904,76,2024-03-15,2024-03-29
1,Clearance,1-10%,4905,67,2025-03-28,2025-04-05
5,Festival,0%,4191,44,2024-02-24,2024-03-05
11,Payday,1-10%,3381,46,2024-08-02,2024-08-16
5,Festival,1-10%,183,1,2024-02-24,2024-03-05
11,Payday,21-30%,4939,110,2024-08-02,2024-08-16
12,Flash Sale,21-30%,4186,105,2025-06-25,2025-07-04
1,Clearance,31-50%,2280,42,2025-03-28,2025-04-05
10,Flash Sale,1-10%,4619,57,2024-09-15,2024-10-04
10,Flash Sale,31-50%,3907,67,2024-09-15,2024-10-04
4,New User,31-50%,976,19,2025-02-11,2025-02-19
3,New User,0%,4106,39,2025-05-12,2025-05-25
1,Clearance,11-20%,1714,51,2025-03-28,2025-04-05
1,Clearance,11-20%,4969,94,2025-03-28,2025-04-05
10,Flash Sale,31-50%,4567,106,2024-09-15,2024-10-04
11,Payday,21-30%,993,25,2024-08-02,2024-08-16
3,New User,21-30%,3177,74,2025-05-12,2025-05-25
5,Festival,31-50%,1975,52,2024-02-24,2024-03-05
1,Clearance,0%,241,2,2025-03-28,2025-04-05
9,Referral,11-20%,4903,96,2024-03-15,2024-03-29
11,Payday,11-20%,1294,22,2024-08-02,2024-08-16
6,Category Push,1-10%,3426,40,2025-07-18,2025-08-01
11,Payday,0%,3903,35,2024-08-02,2024-08-16
7,Payday,1-10%,238,1,2025-03-13,2025-03-31
4,New User,1-10%,4703,51,2025-02-11,2025-02-19
7,Payday,21-30%,3304,77,2025-03-13,2025-03-31
12,Flash Sale,0%,4020,49,2025-06-25,2025-07-04
3,New User,0%,4398,31,2025-05-12,2025-05-25
12,Flash Sale,1-10%,2721,28,2025-06-25,2025-07-04
4,New User,0%,3804,39,2025-02-11,2025-02-19
11,Payday,0%,1643,16,2024-08-02,2024-08-16
7,Payday,11-20%,2556,49,2025-03-13,2025-03-31
12,Flash Sale,0%,4753,33,2025-06-25,2025-07-04
12,Flash Sale,1-10%,433,2,2025-06-25,2025-07-04
11,Payday,1-10%,3653,60,2024-08-02,2024-08-16
5,Festival,1-10%,3729,68,2024-02-24,2024-03-05
11,Payday,11-20%,1646,26,2024-08-02,2024-08-16
6,Category Push,1-10%,681,5,2025-07-18,2025-08-01
4,New User,21-30%,3093,73,2025-02-11,2025-02-19
8,Festival,11-20%,4141,103,2025-03-28,2025-04-14
4,New User,21-30%,4435,103,2025-02-11,2025-02-19
8,Festival,1-10%,1397,17,2025-03-28,2025-04-14
2,Referral,1-10%,2010,43,2024-09-10,2024-09-26
10,Flash Sale,21-30%,2736,90,2024-09-15,2024-10-04
11,Payday,0%,3709,31,2024-08-02,2024-08-16
6,Category Push,21-30%,470,15,2025-07-18,2025-08-01
11,Payday,1-10%,1521,17,2024-08-02,2024-08-16
7,Payday,11-20%,1770,34,2025-03-13,2025-03-31
11,Payday,1-10%,2727,47,2024-08-02,2024-08-16
