order_id,customer_id,product_id,order_date,category,original_price,discount_percent,final_price,campaign_id
1,2102,78,2024-10-10,Beauty,344.05,20,275.24,
2,13742,856,2024-08-09,Home & Kitchen,1060.18,6,996.57,11.0
3,8260,970,2024-07-03,Electronics,2224.49,29,1579.39,
4,5706,1779,2024-06-26,Footwear,855.35,10,769.82,
5,5622,205,2024-03-25,Electronics,4235.71,8,3896.85,9.0
6,9619,1477,2025-07-20,Beauty,490.08,0,490.08,6.0
7,13041,1110,2024-06-23,Home & Kitchen,1473.63,11,1311.53,
8,1030,986,2025-05-31,Beauty,229.97,0,229.97,
9,8616,1083,2025-04-06,Electronics,3509.34,0,3509.34,8.0
10,143,857,2024-10-03,Home & Kitchen,805.81,4,773.58,10.0
11,14143,1348,2024-10-05,Accessories,318.51,13,277.1,
12,1949,1710,2024-08-05,Beauty,964.45,0,964.45,11.0
13,7233,1832,2024-06-09,Grocery,136.63,22,106.57,
14,7930,315,2024-08-06,Footwear,1040.57,5,988.54,11.0
15,11372,1829,2025-08-08,Accessories,255.99,41,151.03,
16,9964,1699,2024-05-12,Grocery,361.35,10,325.22,
17,12843,475,2024-01-14,Grocery,89.69,11,79.82,
18,4879,497,2025-04-30,Fashion,1763.15,5,1674.99,
19,1949,869,2025-04-24,Electronics,3289.44,30,2302.61,
20,5086,1963,2024-04-22,Accessories,812.95,8,747.91,
21,4034,1892,2024-05-17,Fashion,563.1,0,563.1,
22,11607,1938,2024-09-25,Accessories,1254.71,48,652.45,2.0
23,516,341,2024-09-17,Beauty,837.38,23,644.78,10.0
24,6315,951,2024-12-19,Home & Kitchen,1280.49,10,1152.44,
25,9814,887,2025-01-17,Electronics,4244.59,17,3523.01,
26,2175,878,2025-03-09,Grocery,131.37,6,123.49,
27,7137,1243,2024-10-16,Home & Kitchen,1699.55,3,1648.56,
28,8837,900,2025-05-20,Accessories,590.98,22,460.96,3.0
29,1634,793,2024-11-19,Fashion,919.62,0,919.62,
30,5621,821,2025-07-04,Home & Kitchen,937.07,45,515.39,12.0
31,12067,39,2025-04-27,Electronics,7496.76,0,7496.76,
32,14850,61,2024-09-06,Electronics,8680.35,9,7899.12,
33,5772,1084,2025-07-15,Electronics,3730.18,0,3730.18,
34,14095,707,2024-08-02,Grocery,405.46,9,368.97,11.0
35,11518,420,2024-08-13,Electronics,6662.69,14,5729.91,11.0
36,10088,1614,2024-08-12,Footwear,1307.75,8,1203.13,11.0
37,2790,1668,2024-09-28,Beauty,841.95,30,589.37,10.0
38,14830,1984,2024-03-27,Electronics,1484.97,6,1395.87,9.0
39,2173,1852,2024-11-11,Accessories,320.67,25,240.5,
40,14570,848,2024-09-09,Beauty,681.56,0,681.56,
41,8773,803,2025-03-10,Footwear,786.54,9,715.75,
42,11189,1911,2025-01-13,Fashion,506.04,3,490.86,
43,776,786,2025-04-18,Fashion,688.33,22,536.9,
44,12626,1136,2025-08-14,Accessories,1253.96,5,1191.26,
45,9577,180,2025-02-23,Footwear,1077.0,7,1001.61,
46,10151,522,2025-02-23,Grocery,303.22,3,294.12,
47,7337,773,2024-01-08,Grocery,335.81,15,285.44,
48,13673,1812,2024-12-19,Electronics,4884.17,4,4688.8,
49,849,985,2024-10-26,Electronics,2653.01,16,2228.53,
50,193,527,2025-01-19,Fashion,482.17,23,371.27,
51,5787,213,2024-10-10,Footwear,707.07,8,650.5,
52,5355,1137,2024-08-31,Footwear,2514.82,3,2439.38,
53,1990,1993,2024-01-07,Accessories,588.46,0,588.46,
54,4281,1717,2025-08-04,Grocery,183.34,13,159.51,
55,9516,494,2024-05-01,Electronics,3022.84,24,2297.36,
56,2449,860,2025-02-10,Beauty,649.54,19,526.13,
57,14149,399,2024-12-10,Accessories,554.9,0,554.9,
58,10516,1790,2024-11-18,Footwear,1471.72,18,1206.81,
59,6430,1205,2024-07-26,Beauty,742.59,0,742.59,
60,10946,739,2025-01-13,Electronics,4175.86,0,4175.86,
61,14774,125,2024-01-05,Grocery,585.54,2,573.83,
62,14976,312,2024-11-07,Fashion,351.4,10,316.26,
63,10569,847,2024-09-28,Accessories,938.41,16,788.26,10.0
64,2731,1849,2024-10-10,Accessories,516.38,12,454.41,
65,5551,298,2024-01-23,Accessories,395.92,14,340.49,
66,1646,549,2025-04-23,Footwear,1174.31,12,1033.39,
67,1679,1027,2025-06-16,Grocery,183.94,15,156.35,
68,14407,550,2024-09-15,Accessories,373.95,10,336.56,2.0
69,1271,1597,2024-08-05,Footwear,1309.25,1,1296.16,11.0
70,12378,1913,2025-05-27,Grocery,261.71,0,261.71,
71,12978,1871,2024-09-29,Accessories,1098.37,23,845.74,10.0
72,13433,1979,2024-05-17,Footwear,1344.71,4,1290.92,
73,11827,870,2025-05-19,Footwear,820.65,13,713.97,3.0
74,9492,1378,2024-07-03,Grocery,386.24,24,293.54,
75,5445,956,2024-12-29,Electronics,4072.06,0,4072.06,
76,13020,1017,2024-04-04,Grocery,153.39,0,153.39,
77,6001,690,2024-06-02,Beauty,767.04,14,659.65,
78,1478,1626,2024-08-25,Footwear,1300.33,1,1287.33,
79,6631,1013,2024-11-11,Beauty,1015.4,23,781.86,
80,12930,802,2025-08-01,Beauty,776.23,4,745.18,6.0
81,4796,784,2025-06-19,Electronics,2422.12,2,2373.68,
82,759,672,2024-04-26,Fashion,351.22,17,291.51,
83,12436,554,2024-10-29,Accessories,976.79,7,908.41,
84,9735,1482,2024-12-24,Beauty,1207.29,0,1207.29,
85,3660,1780,2024-06-26,Footwear,1994.35,19,1615.42,
86,5059,1027,2025-02-07,Beauty,584.68,12,514.52,
87,12000,1407,2024-02-03,Footwear,939.31,0,939.31,
88,12216,375,2024-08-22,Grocery,100.58,0,100.58,
89,1027,712,2024-03-19,Fashion,1078.93,24,819.99,9.0
90,13416,1239,2024-07-24,Electronics,3268.56,0,3268.56,
